iter	Passed	Remaining
0	143	142863
1	144	72033
2	145	48288
3	146	36415
4	147	29298
5	148	24524
6	148	21123
7	149	18568
8	150	16585
9	151	14994
10	152	13694
11	153	12631
12	155	11774
13	156	11042
14	157	10373
15	159	9780
16	160	9255
17	160	8782
18	161	8358
19	162	7977
20	163	7633
21	164	7323
22	165	7038
23	167	6812
24	168	6584
25	170	6374
26	171	6170
27	172	5981
28	173	5800
29	174	5633
30	175	5476
31	176	5330
32	177	5192
33	178	5062
34	180	4977
35	181	4868
36	182	4762
37	184	4658
38	185	4561
39	186	4470
40	187	4383
41	188	4300
42	189	4222
43	191	4152
44	192	4082
45	193	4014
46	194	3946
47	195	3881
48	196	3817
49	197	3758
50	198	3702
51	199	3645
52	201	3592
53	202	3539
54	203	3494
55	204	3449
56	206	3409
57	207	3364
58	208	3321
59	209	3278
60	210	3237
61	211	3198
62	212	3159
63	213	3121
64	214	3088
65	216	3062
66	217	3029
67	218	2999
68	219	2966
69	220	2932
70	221	2900
71	222	2869
72	223	2839
73	224	2810
74	225	2783
75	226	2755
76	227	2729
77	229	2712
78	230	2691
79	231	2667
80	232	2643
81	234	2620
82	234	2592
83	235	2570
84	236	2548
85	237	2528
86	239	2509
87	240	2496
88	242	2481
89	243	2465
90	245	2449
91	246	2432
92	247	2415
93	248	2398
94	250	2382
95	251	2366
96	252	2350
97	254	2339
98	255	2328
99	257	2315
100	258	2301
101	259	2287
102	261	2273
103	262	2261
104	263	2247
105	264	2234
106	266	2225
107	268	2215
108	269	2205
109	271	2195
110	272	2183
111	273	2172
112	275	2161
113	276	2151
114	278	2140
115	279	2133
116	281	2123
117	283	2116
118	284	2105
119	285	2092
120	286	2080
121	287	2066
122	288	2054
123	289	2042
124	290	2030
125	291	2020
126	292	2013
127	294	2006
128	296	1998
129	297	1989
130	298	1980
131	299	1972
132	301	1965
133	302	1957
134	304	1949
135	306	1947
136	308	1941
137	309	1935
138	311	1929
139	312	1921
140	314	1914
141	315	1904
142	316	1896
143	318	1890
144	319	1886
145	321	1881
146	323	1876
147	324	1869
148	326	1866
149	328	1862
150	330	1857
151	332	1856
152	334	1849
153	335	1841
154	336	1833
155	337	1827
156	338	1820
157	340	1812
158	341	1804
159	342	1797
160	344	1793
161	346	1790
162	347	1784
163	349	1779
164	350	1774
165	352	1770
166	353	1764
167	355	1760
168	357	1757
169	359	1754
170	360	1748
171	362	1743
172	363	1737
173	365	1732
174	366	1729
175	368	1725
176	371	1728
177	373	1726
178	376	1724
179	378	1723
180	380	1721
181	383	1724
182	385	1721
183	387	1717
184	388	1713
185	390	1709
186	392	1706
187	394	1702
188	396	1699
189	398	1696
190	399	1692
191	401	1688
192	402	1683
193	404	1679
194	405	1675
195	407	1671
196	409	1670
197	411	1668
198	413	1664
199	415	1660
200	417	1658
201	418	1654
202	420	1651
203	422	1649
204	424	1646
205	426	1642
206	427	1638
207	429	1635
208	431	1631
209	432	1628
210	435	1627
211	437	1624
212	438	1621
213	440	1617
214	442	1614
215	443	1610
216	445	1607
217	447	1605
218	449	1602
219	450	1598
220	452	1593
221	453	1589
222	454	1585
223	456	1580
224	457	1576
225	459	1573
226	461	1571
227	463	1568
228	464	1565
229	466	1562
230	468	1558
231	469	1555
232	471	1552
233	473	1551
234	475	1549
235	477	1545
236	478	1541
237	480	1537
238	481	1532
239	482	1529
240	484	1525
241	486	1524
242	488	1521
243	490	1518
244	491	1514
245	492	1510
246	494	1506
247	495	1502
248	497	1499
249	499	1497
250	500	1494
251	502	1490
252	503	1485
253	504	1481
254	505	1477
255	506	1472
256	508	1468
257	509	1464
258	510	1460
259	511	1456
260	513	1454
261	514	1450
262	516	1446
263	517	1442
264	518	1438
265	519	1434
266	521	1431
267	522	1426
268	523	1423
269	525	1420
270	526	1417
271	528	1413
272	529	1409
273	530	1405
274	531	1401
275	532	1397
276	533	1392
277	534	1388
278	535	1385
279	536	1380
280	538	1378
281	540	1375
282	541	1371
283	542	1367
284	543	1364
285	544	1360
286	546	1356
287	547	1352
288	548	1349
289	549	1345
290	550	1342
291	552	1340
292	554	1336
293	555	1333
294	556	1329
295	557	1325
296	558	1321
297	559	1317
298	560	1313
299	561	1309
300	562	1305
301	563	1301
302	565	1299
303	566	1296
304	567	1293
305	568	1289
306	569	1286
307	570	1282
308	571	1278
309	572	1275
310	573	1271
311	574	1267
312	576	1264
313	578	1262
314	579	1260
315	580	1257
316	581	1253
317	582	1250
318	584	1246
319	585	1243
320	586	1240
321	587	1237
322	588	1234
323	590	1231
324	591	1229
325	593	1226
326	594	1223
327	595	1220
328	596	1216
329	597	1213
330	598	1210
331	600	1207
332	601	1204
333	602	1201
334	604	1200
335	606	1198
336	608	1198
337	610	1195
338	612	1193
339	613	1191
340	615	1188
341	617	1187
342	619	1185
343	620	1183
344	622	1181
345	623	1178
346	624	1175
347	626	1173
348	627	1170
349	628	1168
350	631	1166
351	632	1164
352	634	1162
353	635	1159
354	636	1157
355	638	1154
356	639	1151
357	640	1149
358	643	1148
359	644	1146
360	646	1144
361	647	1141
362	648	1138
363	650	1135
364	651	1132
365	652	1130
366	653	1127
367	654	1124
368	656	1122
369	658	1120
370	659	1118
371	661	1116
372	663	1114
373	664	1112
374	666	1110
375	668	1110
376	670	1108
377	672	1106
378	674	1104
379	675	1102
380	677	1101
381	679	1098
382	681	1097
383	683	1096
384	684	1093
385	686	1091
386	687	1089
387	689	1087
388	690	1084
389	692	1082
390	694	1082
391	695	1079
392	697	1077
393	698	1074
394	699	1071
395	701	1069
396	702	1067
397	704	1065
398	705	1062
399	706	1060
400	708	1058
401	709	1055
402	711	1053
403	712	1050
404	713	1047
405	714	1045
406	715	1042
407	716	1040
408	717	1037
409	718	1034
410	720	1033
411	722	1030
412	723	1028
413	724	1026
414	726	1023
415	727	1020
416	728	1018
417	729	1015
418	730	1013
419	731	1010
420	733	1008
421	734	1006
422	736	1004
423	737	1001
424	738	999
425	739	996
426	740	994
427	742	991
428	743	990
429	745	988
430	747	986
431	749	985
432	750	983
433	752	980
434	753	978
435	754	976
436	756	974
437	757	972
438	760	971
439	761	969
440	762	966
441	763	964
442	764	961
443	766	959
444	767	956
445	768	954
446	769	952
447	770	949
448	772	948
449	774	946
450	775	944
451	776	941
452	777	939
453	779	937
454	780	935
455	782	933
456	783	931
457	785	929
458	786	927
459	788	925
460	789	923
461	790	920
462	792	918
463	793	916
464	794	914
465	795	911
466	797	909
467	799	908
468	800	906
469	801	904
470	803	901
471	804	899
472	805	897
473	806	895
474	807	893
475	809	890
476	810	888
477	812	887
478	815	886
479	816	885
480	818	883
481	820	881
482	822	880
483	823	878
484	825	876
485	827	875
486	829	873
487	830	871
488	832	870
489	834	868
490	836	867
491	838	866
492	840	864
493	842	862
494	843	861
495	845	859
496	847	857
497	848	855
498	850	853
499	851	851
500	852	849
501	854	847
502	855	844
503	856	842
504	857	840
505	858	838
506	859	836
507	860	833
508	862	831
509	864	830
510	866	829
511	867	827
512	869	825
513	870	823
514	871	821
515	872	818
516	873	816
517	874	814
518	877	812
519	878	810
520	879	808
521	881	806
522	882	804
523	883	802
524	884	800
525	885	797
526	886	795
527	887	793
528	888	791
529	890	789
530	891	787
531	893	785
532	894	783
533	895	781
534	896	778
535	897	776
536	898	774
537	899	772
538	900	770
539	901	767
540	903	766
541	906	765
542	907	763
543	909	762
544	910	760
545	912	759
546	914	757
547	916	756
548	919	755
549	920	753
550	922	751
551	924	750
552	925	748
553	927	746
554	929	745
555	931	743
556	933	742
557	934	740
558	936	738
559	938	737
560	939	735
561	942	734
562	944	732
563	945	731
564	946	729
565	948	727
566	949	725
567	951	723
568	952	721
569	954	720
570	956	718
571	958	717
572	960	715
573	962	714
574	963	712
575	965	710
576	967	709
577	969	708
578	971	706
579	972	704
580	975	703
581	976	701
582	977	699
583	978	697
584	981	696
585	983	695
586	985	693
587	986	691
588	988	689
589	989	687
590	990	685
591	991	683
592	992	681
593	994	679
594	996	677
595	997	676
596	998	674
597	1000	672
598	1001	670
599	1002	668
600	1003	666
601	1005	664
602	1007	663
603	1008	661
604	1010	659
605	1011	657
606	1012	655
607	1013	653
608	1014	651
609	1015	649
610	1017	647
611	1018	645
612	1019	643
613	1021	641
614	1022	639
615	1023	637
616	1024	636
617	1026	634
618	1027	632
619	1028	630
620	1029	628
621	1030	626
622	1032	624
623	1033	622
624	1035	621
625	1036	619
626	1037	617
627	1038	615
628	1039	613
629	1040	611
630	1041	609
631	1042	607
632	1043	605
633	1045	603
634	1046	601
635	1048	599
636	1049	597
637	1050	596
638	1051	594
639	1052	592
640	1053	590
641	1054	588
642	1056	586
643	1057	584
644	1059	583
645	1061	581
646	1063	580
647	1064	578
648	1066	576
649	1067	575
650	1069	573
651	1071	571
652	1073	570
653	1074	568
654	1076	567
655	1078	565
656	1079	563
657	1080	561
658	1082	560
659	1083	558
660	1086	556
661	1087	555
662	1089	553
663	1091	552
664	1093	550
665	1095	549
666	1097	548
667	1100	546
668	1102	545
669	1104	544
670	1106	542
